index,0
Ian Bremmer,"Ian Arthur Bremmer (born November 12, 1969) is an American political scientist and author with a focus on global political risk. He is the president and founder of Eurasia Group, a political risk research and consulting firm with principal offices in New York City."
Robert Pittenger,"Robert Miller Pittenger (; born August 15, 1948) is a businessman and American politician who was the U.S. representative for North Carolina's 9th congressional district from 2013 to 2019. The district included several outer portions of Charlotte as well as many of that city's southern and eastern suburbs."
Islam they,"Islam (; Arabic: اَلْإِسْلَامُ, romanized: al-’Islām, [ɪsˈlaːm] (listen)) is an Abrahamic, monotheistic, and universal religion teaching that Muhammad is a messenger of God. It is the world's second-largest religion with 1.9 billion followers or 24.9% of the world's population, known as Muslims."
Office of Management,"Office management is a profession involving the design, implementation, evaluation, and maintenance of the process of work within an office or other organization, in order to sustain and improve efficiency and productivity.
Office management is thus a part of the overall administration of business and since the elements of management are forecasting and planning, organising, command, control and coordination, the office is a part of the total management function."
Mallory Stewart,"Mallory Stewart is an American attorney who is the nominee to serve as Assistant Secretary of State for Arms Control, Verification, and Compliance.


== Early life and education ==
Stewart obtained an bachelor of arts degree from Harvard University and a Juris Doctor from Stanford Law School."
Vern Miyagi,"Vern T. Miyagi was an administrator responsible for the day-to-day operations of the Hawaii Emergency Management Agency (HI-EMA) from September 11, 2015 to January 30, 2018. Before that he was executive officer at Hawaii EMA. He is a retired United States Army major general with over 37 years service."
Tom Passmore,"Matthew Passmore (born 24 December 1973) is an Australian actor.  He is known for McLeod's Daughters (2006–2009), Blue Heelers (2003), Last Man Standing (2005), and his first American television show, The Glades (2010–2013)."
Thomas Hanes,"James Thomas Hanes Jr. (born December 12, 1955) is an American politician who has served in the Alabama House of Representatives from the 23rd district since 2014."
Matthew Spence,"Matthew Spence (born 7 April 1976) is a former professional rugby league footballer and coach. His position of preference was in the second row, although he also played as prop occasionally."
David Pressman,"David Pressman (born 1977) was the United States Ambassador to the United Nations for Special Political Affairs. He was nominated by President Obama, and confirmed by the Senate on September 17, 2014."
Kim Byung-kee,"Kim Byung-kee (born July 10, 1961) is a South Korean member of parliament of the Minjoo Party of Korea."
Michael Dumont,"Michael Joseph Dumont is a retired American flag officer, naval aviator and vice admiral in the United States Navy who last served as deputy commander of U.S. Northern Command and Vice Commander, U.S. Element, North American Aerospace Defense Command at Peterson Air Force Base, Colorado. Mike served in the US Army for five years as an aviator and paratrooper and later, he joined the US Navy.In 2017 or earlier, Mike served as a vice director of Joint Chiefs of Staff at Pentagon upon his promotion to the rank of two-star rear admiral."
Dmitri Trenin,"Dmitri Vitalyevich Trenin (Russian: Дмитрий Витальевич Тренин, born 1955) is the director of the Carnegie Moscow Center, a think tank and regional affiliate of the Carnegie Endowment for International Peace. A former colonel of Russian military intelligence, Trenin served for 21 years in the Soviet Army and Russian Ground Forces, before joining Carnegie in 1994 


== Early life and education ==
Trenin was born in Moscow in 1955."
Silvano Tomasi,Silvano Maria Tomasi C.S. (born 12 October 1940) is an Italian prelate of the Catholic Church who has served as the Special Delegate to the Sovereign Military Order of Malta since 1 November 2020. He was the Permanent Observer of the Holy See to the United Nations in Geneva from 2003 to 2016.
David Goldfein,"David Lee Goldfein (born December 21, 1959) is a retired United States Air Force four-star general who last served as the 21st chief of staff of the Air Force. He previously served as the vice chief of staff of the Air Force and, prior to that, he served as the director of the Joint Staff, a position within the Joint Chiefs of Staff who assists the chairman of the Joint Chiefs of Staff."
John Bellinger III,"John B. Bellinger III is an American lawyer who served as the Legal Adviser for the U.S. Department of State and the National Security Council during the George W. Bush administration. He is now a partner at the Washington, D.C. law firm Arnold & Porter, and Adjunct Senior Fellow at the Council on Foreign Relations."
Rob Givens,"Robin Simone Givens (born November 27, 1964) is an American actress and model. She is also a graduate of Sarah Lawrence College.Givens landed her breakthrough role of Darlene Merriman in the ABC sitcom Head of the Class in 1986, and remained on the series for its 5-year duration."
Lee Terry,"Lee Raymond Terry (born January 29, 1962) is a former American politician and a senior law firm adviser.  From 1999 to 2015, he served as a member of the U.S. House of Representatives for Nebraska's 2nd congressional district as a member of the Republican Party."
Trent Franks,"Trent Franks (born June 19, 1957) is a former American politician and businessman who served as the U.S. representative for Arizona's 8th congressional district from 2003 to 2017 (numbered as the 2nd district from 2003 to 2013). He is a member of the Republican Party."
Graham Nash,"Graham William Nash  (born 2 February 1942) is a British-American singer-songwriter and musician. Nash is known for his light tenor voice and for his songwriting contributions as a member of the English pop/rock group the Hollies and the folk-rock supergroups Crosby, Stills & Nash and Crosby, Stills, Nash & Young."
Daniel Markey,"Daniel P. Markey (June 27, 1857 – March 2, 1946) was a Michigan politician.


== Early life ==
Markey was born to parents James and Catherine Markey on June 27, 1857 in Bunker Hill Township, Ingham County, Michigan."
Scott Swift,"Scott Harbison Swift (born December 1, 1957) is a retired admiral in the United States Navy, serving as the commander of the U.S. Pacific Fleet from May 27, 2015 to May 17, 2018. He previously served as the director of Navy Staff in the office of the Chief of Naval Operations."
Terrence J. O'Shaughnessy,"Terrence John O'Shaughnessy (born c. 1964) is a retired United States Air Force four-star general who previously served as the commander of United States Northern Command and as the commander of North American Aerospace Defense Command.Since 2021, O'Shaughnessy is a Chief Operating Officer at SpaceX.


== Military career ==
O'Shaughnessy was born in North Bay, Ontario, Canada, the son of Terrence O'Shaughnessy, an orthodontist who was originally from Cobalt, Ontario. The family relocated to Framingham, Massachusetts in 1968."
Cheryl Rofer,Cheryl K. Rofer is an American nuclear physicist and writer who worked as a nuclear researcher at Los Alamos National Laboratory for over thirty years. She was involved with the environmental clean-up of Estonia and Kazakhstan after the Soviet occupation.
Madeleine Albright,"Madeleine Jana Korbel Albright (born Marie Jana Korbelová; May 15, 1937) is an American politician and diplomat who served as the 64th United States Secretary of State from 1997 to 2001 under President Bill Clinton. She was the first female secretary of state in U.S. history."
Hilda Heine,"Hilda Cathy Heine (born April 6, 1951) is a Marshallese educator and politician, who served as the eighth President of the Marshall Islands. Prior to assuming office, she served as the Minister of Education."
Martin Schulz,"Martin Schulz (born 20 December 1955) is a German politician who served as Leader of the Social Democratic Party from 2017 to 2018, and  was a Member of the Bundestag (MdB) from 2017 to 2021. Previously he was President of the European Parliament from 2012 to 2017, Leader of the Progressive Alliance of Socialists and Democrats from 2004 to 2012 and a Member of the European Parliament (MEP) from Germany from 1994 to 2017.In November 2016, Schulz announced he would not seek a third term as President of the European Parliament, but instead would stand in 2017 as the SPD candidate for the German Chancellorship."
Valerie Plame,"Valerie Elise Plame (born August 13, 1963), is an American writer, spy novelist, and former Central Intelligence Agency (CIA) officer. As the subject of the 2003 Plame affair, also known as the CIA leak scandal, Plame's identity as a CIA officer was leaked to and subsequently published by Robert Novak of The Washington Post."
Ana Swanson,"James Dansby Swanson (born February 11, 1994) is an American professional baseball shortstop for the Atlanta Braves of Major League Baseball (MLB). Swanson attended Vanderbilt University, and played college baseball for the Vanderbilt Commodores."
Todd Harrison,"Todd Harrison is the founder and CEO of the Emmy Award-winning internet media company Minyanville.


== Biography ==
Wall Street Career
Todd Harrison optioned out of a two-decade ascent toward the upper echelons of Wall Street leadership to found Minyanville, a website dedicated to financial education and related projects, such as the Ruby Peck Foundation for Children's Education which supports learning through creative education.Harrison finished as Vice President after a seven-year stint (1992–1998) on the worldwide equity derivative desk at Morgan Stanley,  went on to become Managing Director of Derivatives at The Galleon Group, and completed his Wall Street career as President of the $400 million hedge fund, Cramer Berkowitz, and writer for TheStreet.com."
Paul Robinson,"Paul William Robinson (born 15 October 1979) is an English former professional footballer who played as a goalkeeper in the Premier League and Football League for Leeds United, Tottenham Hotspur, Blackburn Rovers and Burnley. He is a former England international, earning 41 caps between 2003 and 2007."
Albert Del Rosario,"Albert Ferreros del Rosario (born November 14, 1939) is a Filipino diplomat. He was the Secretary of Foreign Affairs of the Philippines from 2011 to 2016."
Christine Ahn,Christine Ahn is a Korean-American peace activist and a foreign policy analyst. She is the 2020 winner of the US Peace Prize for her work for peace on the Korean peninsula and her advocacy for women's leadership in peace-building efforts.
Uzi Rubin,Uzi Rubin (born 1937) is an Israeli defense engineer and analyst. Rubin is considered one of the pre-eminent analysts of missile systems in the Middle East.
Joe Wilson,"Addison Graves ""Joe"" Wilson Sr. (born July 31, 1947) is an American politician and attorney serving as the U.S. representative for South Carolina's 2nd congressional district since 2001."
Vladimir Safronkov,"Vladimir Karpovich Safronkov (Russian: Владимир Карпович Сафронков, born 29 March 1964) is a Russian diplomat. He is the Russian deputy envoy to the United Nations."
Hamish Bretton-Gordon,"Colonel Hamish Stephen de Bretton-Gordon  (born September 1963) is a chemical weapons expert and was a director of SecureBio Limited until its dissolution on 17 August 2017. He was formerly a British Army officer for 23 years and commanding officer of the UK's Joint Chemical, Biological, Radiological and Nuclear Regiment and NATO's Rapid Reaction CBRN Battalion."
David K. Barton,"David Knox Barton (born 1927 in Greenwich, Connecticut) is an American radar systems engineer who has made significant contributions to air defense, missile guidance, monopulse radar, low-altitude tracking, air traffic control, and early warning radar. He had authored a well-regarded series of reference books on radar engineering in the late 1970s."
Chris Johnson,"Christopher Duan Johnson (born September 23, 1985) is a former American football running back. Born in Orlando, Florida, Johnson emerged as a senior for East Carolina University where he broke out for 2,960 all-purpose yards and 24 touchdowns."
Vincent Stewart,"Vincent Raymond Stewart (born May 11, 1958) is a retired Jamaican American lieutenant general in the United States Marine Corps who most recently served as Deputy Commander at United States Cyber Command. He previously served as the 20th Director of the Defense Intelligence Agency (DIA)."
Paul Bracken,Paul Bracken is a professor of political science and business at Yale University. He received his Bachelor of Science (Engineering) degree from Columbia University and his PhD in Operations Research from Yale University.
Ron Wyden,"Ronald Lee Wyden (; born May 3, 1949) is an American politician and retired educator serving as the senior United States senator from Oregon, a seat he has held since 1996. A member of the Democratic Party, he served in the United States House of Representatives from 1981 until 1996."
Jon Ossoff,"Thomas Jonathan  Ossoff ( OSS-off; born February 16, 1987) is an American politician serving as the senior United States senator from Georgia since 2021. A member of the Democratic Party, Ossoff was previously a documentary film producer and investigative journalist."
Enrique Manalo,"Luis Enrique Austria Manalo (born July 21, 1952) is a Filipino diplomat who is the current Permanent Representative of the Philippines to the United Nations. Prior to that, he served as Undersecretary for Policy of the Department of Foreign Affairs."
Michael Chertoff,"Michael Chertoff (born November 28, 1953) is an American attorney who was the second United States Secretary of Homeland Security to serve under President George W. Bush. He was the co-author of the USA PATRIOT Act."
Sergey Lavrov,"Sergey Viktorovich Lavrov (Russian: Сергей Викторович Лавров, pronounced [sʲɪrˈɡʲej ˈvʲiktərəvʲɪtɕ lɐˈvrof]; born 21 March 1950) is a Russian diplomat and politician who has served as the Foreign Minister of Russia since 2004. As a member of the United Russia party, he served as the Permanent Representative of Russia to the United Nations from 1994 to 2004."
Derek Chollet,"Derek Chollet is an American foreign policy advisor and author currently serving as the Counselor of the United States Department of State. Previously, Chollet was the Executive Vice President for security and defense policy at the German Marshall Fund of the United States."
Graham Allison,"Graham Tillett Allison Jr. (born March 23, 1940) is an American political scientist and the Douglas Dillon Professor of Government at the John F. Kennedy School of Government at Harvard University."
Ely Ratner,"Ely Stefansky Ratner (born 1977) is an American foreign policy and defense advisor who is currently serving as Assistant Secretary of Defense for Indo-Pacific Security Affairs in the Biden administration.


== Education ==
Ratner earned a Bachelor of Arts degree from the School of Public and International Affairs at Princeton University and a PhD in political science from the University of California, Berkeley."
Zheng Zeguang,"Zheng Zeguang (Chinese: 郑泽光; born October 1963) is a Chinese diplomat current serving as the Chinese Ambassador to the United Kingdom, and former Vice Minister of Foreign Affairs of China.


== Career ==
After teaching at a Guangdong middle school from 1980 to 1982, Zheng studied at South China Normal University and Cardiff University."
Paul Monroe,"Paul Monroe, Ph.D., LL.D. (1869–1947) was an American educator.


== Biography ==
He was born at North Madison, Indiana."
Seth Moulton,"Seth Wilbur Moulton (born October 24, 1978) is an American politician serving as the U.S. representative for Massachusetts's 6th congressional district since 2015. A former Marine Corps officer, he is a member of the Democratic Party."
Tomas Ojea Quintana,Tomás Ojea Quintana is United Nations' Special Rapporteur on the situation of human rights in North Korea. As a lawyer he has worked in the field of human rights for more than 20 years.
Sean McCormack,"Sean McCormack (born 1964) is a former United States Assistant Secretary of State. He was sworn in as Assistant Secretary of State for Public Affairs and Department Spokesman on June 2, 2005, and served until January 20, 2009."
Christopher Johnson,"Christopher Wold Johnson (born August 7, 1959) is an American businessman and sports executive who is the owner and vice chairman of the New York Jets of the National Football League (NFL). He is a great-grandson of Robert Wood Johnson I (co-founder of Johnson & Johnson), and the brother of Woody Johnson who served as the United States Ambassador to the United Kingdom from 2017–2021."
Scott Peterson,"Scott Lee Peterson (born October 24, 1972) is an American convicted murderer. In 2004, he was convicted of the first-degree murder of his wife, Laci, who was pregnant at the time, and the second-degree murder of their unborn son, Conner, in Modesto, California."
John Mearsheimer,"John Joseph Mearsheimer (; born December 14, 1947) is an American political scientist and international relations scholar, who belongs to the realist school of thought. He is the R. Wendell Harrison Distinguished Service Professor at the University of Chicago."
Heidi Heitkamp,"Mary Kathryn Heitkamp ( HYTE-kamp; born October 30, 1955) is an American lobbyist, lawyer, and politician who served as a United States senator from North Dakota from 2013 to 2019. A member of the North Dakota Democratic–Nonpartisan League Party, she was the first woman elected to the U.S. Senate from North Dakota."
Alexei Pushkov,"Aleksey Konstantinovich Pushkov (Russian: Алексе́й Константи́нович Пушко́в; born 10 August 1954) is a Russian politician who has been Senator from Perm Krai since 29 September 2016. He is also a former Deputy of the State Duma and former head of the Foreign Affairs Committee in the State Duma, the lower house of the Russian Parliament."
George Takei,"George Takei (; Japanese: ジョージ・タケイ, born Hosato Takei (武井 穂郷); April 20, 1937) is an American actor and activist. He is internationally known for his role as Hikaru Sulu, helmsman of the fictional starship USS Enterprise in the television series Star Trek and subsequent films.Takei was born to Japanese-American parents, with whom he lived in U.S.-run internment camps during World War II. He began pursuing acting in college, which led in 1965 to the role of Sulu, to which he returned periodically into the 1990s."
Spencer Abraham,"Edward Spencer Abraham (born June 12, 1952) is an American attorney, author and politician who was a United States Senator from Michigan from 1995 to 2001 and the tenth United States Secretary of Energy, serving under President George W. Bush, from 2001 to 2005. Abraham, a Republican, is one of the founders of the Federalist Society and a co-founder of the Harvard Journal of Law and Public Policy."
Byron Dorgan,"Byron Leslie Dorgan (born May 14, 1942) is an American author, businessman, and former United States Senator and United States Representative from North Dakota. A member of the Democratic Party, Dorgan served 12 years in the U.S. House and 18 years in the Senate."
Maggie Hassan,"Margaret Coldwell Hassan (; née Wood; born February 27, 1958) is an American politician and attorney serving as the junior United States senator from New Hampshire. A Democrat, Hassan was elected to the Senate in 2016 while she was serving as the 81st governor of New Hampshire, an office she held from 2013 to 2017.Born in Boston, Massachusetts, Hassan is a graduate of Brown University and Northeastern University School of Law."
Robert Dold,"Robert James Dold Jr. (born June 23, 1969) is an American politician who served as the U.S. representative for Illinois's 10th congressional district from 2011 to 2013 and again from 2015 to 2017."
Stylianides,"Christos Stylianides (Greek: Χρήστος Στυλιανίδης, born 26 June 1958) is a Greek Cypriot politician who serves as Greece's Minister for the Climate Crisis and Civil Protection. He has previously served as the European Commissioner for Humanitarian Aid and Crisis Management from 2014 until 2019."
Heather A Conley,"Heather A. Conley is president of the German Marshall Fund of the United States (GMF) in Washington, D.C.


== Early life and education ==
Conley received her Bachelor of Arts degree from West Virginia Wesleyan College. She received her Master of Arts in International Relations from the Paul H. Nitze School of Advanced International Studies, The Johns Hopkins University."
Robert Lieber,"Robert J. Lieber (born 1941) is a Professor of Government and International Affairs at Georgetown University in Washington, D.C. Lieber is the author or editor of a total of seventeen books and has served as the Chair of the Government Department and as Interim Chair of Psychology.


== Education ==
Lieber completed his undergraduate degree in political science at the University of Wisconsin."
Jennifer Rubin,"Jennifer Rubin (born June 11, 1962) is an American political commentator who writes opinion columns for The Washington Post. Previously she worked at Commentary, PJ Media, Human Events, and The Weekly Standard."
Mira Rapp-Hooper,"Mira Rapp-Hooper is an American political scientist and expert on security in the Asia-Pacific who serves as a senior advisor on China at the State Department's Policy Planning Staff. Her field of expertise includes Asia security issues, deterrence, nuclear strategy and policy, and alliance politics."
Jill Hruby,"Jill Hruby is a mechanical engineer who is the Senate confirmed Under Secretary of Energy for Nuclear Security and Administrator of the National Nuclear Security Administration.


== Education ==
Hruby earned her bachelor’s degree from Purdue University College of Engineering and her master’s degree from the UC Berkeley College of Engineering, both in mechanical engineering."
Politifact,"PolitiFact.com is an American nonprofit project operated by the Poynter Institute in St. Petersburg, Florida, with offices there and in Washington, D.C. It began in 2007 as a project of the Tampa Bay Times (then the St."
Nuclear Threat Initiative,"The Nuclear Threat Initiative (NTI) is a nonpartisan, nonprofit organization founded in 2001 by former U.S. Senator Sam Nunn and philanthropist Ted Turner in the United States, which works to prevent catastrophic attacks and accidents with weapons of mass destruction and disruption – especially nuclear, biological, radiological, chemical, and cybersecurity.


== Mission ==
NTI has been engaged in developing, shaping, and implementing nuclear security projects."
JIC,"JIC fittings, defined by the SAE J514 and MIL-DTL-18866 standards, are a type of flare fitting machined with a 37-degree flare seating surface.  JIC (Joint Industry Council) fittings are widely used in fuel delivery and fluid power applications, especially where high pressure (up to 10,000 psi) is involved."
Laban Coblentz,"Laban L. Coblentz (born July 21, 1961) is a writer, educator, science policy adviser, international civil servant, and entrepreneur. He is an avid proponent of the use of advanced technology for sustainable development."
Vikas Swarup,"Vikas Swarup (born 22 June 1961) is a retired Indian diplomat and writer. He retired from the Indian Foreign Service as the Secretary (West) at the Ministry of External Affairs, India on 30 June 2021 and has previously served as High Commissioner of India in Canada and has been the official spokesperson of the Ministry of External Affairs of India."
Darryl Glenn,"Darryl LeMon Glenn (born October 10, 1965) is an American lawyer and politician. He was the nominee of the Republican Party in the 2016 United States Senate election in Colorado."
Brett McGurk OLD,McGurk is a surname of Irish origin.
Mohammad Reza Ashtiani,"Mohammad-Reza Gharaei Ashtiani (Persian: محمدرضا قرایی آشتیانی) is the current minister responsible for the Ministry of Defense and Armed Forces Logistics of Iran. Ashtiani was sworn in on August 25, 2021, replacing Brigadier General Amir Hatami who held role since 2017."
Sadegh Zibakalam,"Sadegh Zibakalam Mofrad (Persian: صادق زیباکلام, lit. 'honest eloquent-speaker'; born 12 June 1948) is an Iranian academic, author and pundit described as reformist and neo-liberal.A graduate of the University of Bradford, he is a professor at University of Tehran and appears frequently on international news outlets including the BBC News and Al Jazeera.
His books ""How Did We Become What We Are?"
Rokneddin Javadi,"Roknodin Javadi (born 1957) is an Iranian business executive.He is a former CEO of National Iranian Oil Company and Deputy oil minister of iran and the Chairman of National Iranian South Oil Company.Javadi served as Managing Director of National Iranian Gas Export Company (NIGEC) during ex-president Mohammad Khatami`s administration, who signed Crescent Gas Contract on behalf of the Iran's Oil Ministry.In September 2013 Javadi was appointed as the managing director and CEO of National Iranian Oil Company (NIOC) and as deputy oil minister by Iran's oil minister Bijan Namdar Zanganeh. He succeeded former NIOC CEO Ahmad Ghalebani.Javadi served as NIOC’s CEO until he resigned in June 2016."
Exxon Mobil,"Exxon Mobil Corporation, stylized as ExxonMobil, is an American multinational oil and gas corporation headquartered in Irving, Texas. It is the largest direct descendant of John D. Rockefeller's Standard Oil, and was formed on November 30, 1999, by the merger of Exxon (formerly the Standard Oil Company of New Jersey) and Mobil (formerly the Standard Oil Company of New York)."
Ali Kardor,"Ali Kardor (Persian: علی کاردر, born 16 May 1954) is an Iranian oil executive, and the former managing director of the National Iranian Oil Company (NIOC), from 2016 to 2018. Kardor joined NIOC in 1984."
MoveOn.org,"MoveOn (formerly known as MoveOn.org) is a progressive public policy advocacy group and political action committee. Formed in 1998 around one of the first massively viral email petitions, MoveOn has since grown into one of the largest grassroots progressive campaigning communities in the United States, with a membership of millions.MoveOn has run a wide range of issue advocacy and electoral campaigns, including to defend democracy and the rule of law, advance diplomacy over war, expand access to health care and protect social security, supporting the rights of immigrants and refugees, and advocating for racial and social justice."
Mohammad Reza,"Mohammad Reza Pahlavi (Persian: محمدرضا پهلوی, pronounced [mohæmˈmæd reˈzɒː pæhlæˈviː]; 26 October 1919 – 27 July 1980), also known as Mohammad Reza Shah (محمدرضا شاه), was the last Shah (King) of the Imperial State of Iran from 16 September 1941 until his overthrow in the Iranian Revolution on 11 February 1979. Due to his status as the last Shah of Iran, he is often referred to simply as the Shah."
Mead Treadwell,"Louis Mead Treadwell II (born March 21, 1956) is an American businessman and politician who served as lieutenant governor of Alaska from 2010 to 2014. Treadwell is the former chair of the U.S. Arctic Research Commission serving from 2006 to 2010."
Abraham H. Foxman,"Abraham Henry Foxman (born May 1, 1940) is an American lawyer and activist. He served as the national director of the Anti-Defamation League from 1987 to 2015, and is currently the League's national director emeritus."
Mark McNulty,"Mark William McNulty (born 24 March 1953) is a Zimbabwean-Irish professional golfer currently playing on the PGA Tour Champions. He was one of the leading players on the European Tour from the mid-1980s to the mid-1990s, and featured in the top 10 of the Official World Golf Ranking for 83 weeks from 1987 to 1992."
Seyed Abbas Araghchi,"Seyed Abbas Araghchi (Persian: سید عباس عراقچی, pronunciation  Persian pronunciation: [ʔæbˌbɒːse æɾɒːˈɢtʃi]; born 5 December 1962 in Tehran) is an Iranian diplomat who is the former political deputy at the Ministry of Foreign Affairs of Iran from 2017 to 2021. He previously held office as the Deputy for Asia–Pacific and the Commonwealth Affairs and Legal and International Affairs of the Ministry of Foreign Affairs of Iran."
Andrea Tantaros,"Andreana Kostantina Tantaros (born December 30, 1978) is an American conservative political analyst and commentator. She was a co-host of Outnumbered on Fox News, and an original co-host of The Five."
Bob Beckel,"Robert Gilliland Beckel (November 15, 1948 – February 20, 2022) was an American political analyst and pundit, and political operative. He was an analyst and commentator on Fox News."
Klaus Iohannis,"Klaus Werner Iohannis (Romanian: [ˈkla.us joˈhanis]; German: [ˈkʰlaʊ̯s joˈhanɪs]; also spelled Johannis; born 13 June 1959) is a Romanian politician, the current president of Romania. He became leader of the National Liberal Party (PNL) in 2014, after having served as leader of the Democratic Forum of Germans in Romania (FDGR/DFDR) from 2002 to 2013."
William Gortney,"William Evans ""Bill"" Gortney (born September 25, 1955) is a retired United States Navy admiral who served as the sixth commander of United States Northern Command and the 23rd commander of North American Aerospace Defense Command (NORAD). He previously served as the Commander, United States Fleet Forces Command from  September 14, 2012 to December 2014 and Director of the Joint Staff from July 1, 2010 to August 2012."
Ri Su Yong,"Ri Su-yong (리수용; born 15 June 1940), also known as Ri Chol (이철), is a North Korean diplomat and politician, serving as the Minister of Foreign Affairs of North Korea from April 2014 until May 2016.
Ri has served as a diplomat to Switzerland, and has represented North Korea at the United Nations mission in Geneva."
Ronen Bergman,"Ronen Bergman (Hebrew: רונן ברגמן; born June 16, 1972) is an Israeli investigative journalist and author. He is a senior political and military analyst for Yedioth Ahronoth, Israel's largest-circulation daily."
Emirates NBD,"Emirates NBD Bank PJSC is Dubai's government-owned bank and is one of the largest banking groups in the Middle East in terms of assets.


== History and profile ==

Emirates NBD was initially formed as National Bank of Dubai (NBD) on 19 June 1963 by then Dubai's ruler Sheikh Rashid bin Saeed Al Maktoum, forming the first national bank established in Dubai."
Dennis Daugaard,"Dennis Martin Daugaard (born June 11, 1953) is an American attorney and politician who served as the 32nd governor of South Dakota from 2011 to 2019. A member of the Republican Party, he was the first chief executive of a U.S. state to be the child of deaf parents."
Battelle,"Battelle Memorial Institute (more widely known as simply Battelle) is a private nonprofit applied science and technology development company headquartered in Columbus, Ohio. Battelle is a charitable trust organized as a nonprofit corporation under the laws of the State of Ohio and is exempt from taxation under Section 501(c)(3) of the Internal Revenue Code because it is organized for charitable, scientific and education purposes."
Morgan H. Griffith,"Howard Morgan Griffith (born March 15, 1958) is an American lawyer and politician who has been the U.S. representative for Virginia's 9th congressional district since 2011. The district covers a large swath of southwestern Virginia, including the New River Valley and the Virginia side of the Tri-Cities."
Dave Albrecht,"Jeffrey Carter Albrecht (23 June 1973 – 3 September 2007) was an American musician best known for his keyboard and guitar work in Edie Brickell & New Bohemians.


== Biography ==
Originally from Derby, Kansas and a 1995 graduate of Southern Methodist University with a degree in piano performance, Albrecht was a pianist with the Dallas Symphony Orchestra and taught piano in the mid-1990s."
William Bratton,"William Joseph Bratton CBE (born October 6, 1947) is an American law enforcement officer and businessman who served two terms as the New York City Police Commissioner (1994–1996 and 2014–2016). He previously served as the Commissioner of the Boston Police Department (BPD) (1993–1994) and Chief of the Los Angeles Police Department (LAPD) (2002–2009)."
Tim Canova,"Timothy A. Canova (born May 17, 1960) is an American politician and law professor specializing in banking and finance. Canova was a candidate for Florida's 23rd congressional district, unsuccessfully challenging Debbie Wasserman Schultz in the 2016 Democratic primary, and again in the 2018 general election, where he ran as an independent candidate."
Jon Miller,"Jon Wesley Miller (born October 11, 1951) is an American sportscaster, known primarily for his broadcasts of Major League Baseball. Since 1997 he has been employed as a play-by-play announcer for the San Francisco Giants."
Bill Gortney,"William Evans ""Bill"" Gortney (born September 25, 1955) is a retired United States Navy admiral who served as the sixth commander of United States Northern Command and the 23rd commander of North American Aerospace Defense Command (NORAD). He previously served as the Commander, United States Fleet Forces Command from  September 14, 2012 to December 2014 and Director of the Joint Staff from July 1, 2010 to August 2012."
Robert S. McNamara,"Robert Strange McNamara (; June 9, 1916 – July 6, 2009) was an American business executive and the eighth United States Secretary of Defense, serving from 1961 to 1968 under Presidents John F. Kennedy and Lyndon B. Johnson. He played a major role in escalating the United States' involvement in the Vietnam War."
Morgan Smith,"Morgan Smith-Goodwin (born March 29, 1986) is an American actress. She has had recurring roles on television series Veep and Messiah."
Control Arms Coalition,"The Control Arms Coalition is a campaign jointly run by a coalition of over 100 organisations including Amnesty International, IANSA, Oxfam International and Saferworld.  

The campaign has been active since 2003 in calling for an international Arms Trade Treaty (ATT)."
Hong Yong,Hong Yong-Jo (Korean: 홍영조; Hanja: 洪映早; born 22 May 1982) is a North Korean international forward who plays for April 25 SC in the DPR Korea League. He previously played for FC Rostov in Russia and FK Bežanija in the Serbian SuperLiga.He captained the North Korean team that qualified for the 2010 FIFA World Cup in South Africa.
Hong Yong-pyo,"Hong Joon-pyo (born 20 November 1953), also spelled as Hong Jun-pyo, is a South Korean politician and former prosecutor who serves as a member of the National Assembly in his fifth term. He was the governor of South Gyeongsang Province, and the party leader of the conservative Grand National Party in 2011 and its successor incarnation the Liberty Korea Party from 2017 to 2018."
Kathryn Roberts,"Kathryn Roberts is an English folk singer, from Barnsley, South Yorkshire.


== Early career ==
Roberts' first released recordings were on the album Intuition, a collection of songs by various South Yorkshire folk artists which also included her friend Kate Rusby."
Justin Trudeau,"Justin Pierre James Trudeau  (; French: [ʒystɛ̃ tʁydo] (listen), born December 25, 1971) is a Canadian politician who is the 23rd and current prime minister of Canada since November 2015 and the leader of the Liberal Party since April 2013. Trudeau is the second-youngest prime minister in Canadian history after Joe Clark; he is also the first to be the child or other relative of a previous holder of the post, as the eldest son of Pierre Trudeau."
Carlos Ghosn,"Carlos Ghosn (; French: [kaʁlɔs ɡon]; Arabic: كارلوس غصن; Lebanese Arabic pronunciation: ['kaːrlos 'ɣosˤn], born 9 March 1954) is a Brazilian-born Lebanese businessman. Ghosn also holds French nationality."
Tom Enders,"Thomas Enders (born December 21, 1958) is a German business executive who served as the chief executive of Airbus (formerly EADS, Airbus Group) from 2012 until 2019. Since 2019, he has been the president of the German Council on Foreign Relations (DGAP)."
Abbas Akhoundi,"Abbas Ahmad Akhoundi (Persian: عباس آخوندی, born 6 June 1957) is an Iranian politician and academic and former Minister of Roads and Urban Development, from 2013 to 2018. In 1993, Akhoundi became the Minister of Housing and Urban Development, making him one of the youngest ministers in Iran's modern history until Mohammad-Javad Azari Jahromi's appointment in 2017."
